sku,ean,descricao,criado_em,atualizado_em
AL369,7908713203424,BARRA FIXA PORTA - CÓD: AL369,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL371,7908713205572,MINI BICICLETA (CICLOERGOMETRO) PARA BRAÇOS E PERNAS - COD: AL371 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL380-B,7908713207828,BICICLETA ERGOMETRICA DIGITAL - COR: PRETO - COD: AL380-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL380-W,7908713207866,BICICLETA ERGOMETRICA DIGITAL - COR: BRANCO - COD: AL380-W - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL382,7908713203714,DETECTOR DE NOTA FALSA - COR: PRETO - CÓD: AL382 - MARCA: LORBEN.,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL387,7908713205589,AEROGRAFO PRO 0.2MM METICO - CÓD: AL387 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL388,7908713208375,JOGO DE PISTOLA AEROGRAFICA GRAVITACIONAL 5 PEÇAS - CÓD: AL388 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL39,7908713205336,BOMBA DE AR MANUAL 5 BICOS COR: PRATA - CÓD: AL39 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL403,7908713203592,DISCO FRESA EM AÇO - TAMANHO 60X6 MM - CÓD: AL403 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL404,7908713203608,DISCO FRESA EM AÇO - TAMANHO: M60X6 MM 36 DENTES - CÓD: 404 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL405-2,7908713203684,MAQUINA DE CHAVES PANTOGRÁFICAS - VOLTAGEM: 220V - CÓD AL405-2 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
