sku,ean,descricao,criado_em,atualizado_em
AL6046,7908713209099,BALANCA CORPORAL DIGITAL VIDRO QUADRADA - CÓD: AL6046 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6047-1,7908713209952,MASSAGEADOR ELETRICO ORBITAL - VOLTAGEM: 110V - CÓD: AL6047-1 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6047-2,7908713209969,MASSAGEADOR ELETRICO ORBITAL - VOLTAGEM: 220V - CÓD: AL6047-2 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6051,7908713201598,SUPORTE GIRATÓRIO DE PAREDE MONITOR TV 10 A 26 POL - CÓD: AL6051 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6052,7908713205961,CLAQUETE CINEMA PROFISSION - CÓD. AL6052 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6053,7908713201604,LEITOR DE CARTÕES RFID 125Khz 4001 - CÓD: AL6053 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6054-1,7908713201635,MINI INCUBADORA DIGITAL PARA 6 OVOS 110V - CÓD: AL6054-1 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6055,7908713206722,"IMA DE NEODIMIO CUBO 5X5X2,5CM - CÓD: AL6055 - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6056,7908713203370,IMÃ DE NEODIMIO REDONDO PEQUENO 5MM X 1MM - CÓD: AL6056,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6057,7908713201659,CALIBRADOR DE PNEUS STELS 1/4 Npt COM MANÔMETRO 220 - CÓD: AL6057 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6059,7908713201673,CONJUNTO DE ABRIDOR DE VINHOS AUTOMATICO - 4 PECAS CÓDIGO: AL6059 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6060,7908713205978,KIT BAR COQUETELEIRA 550ML + SOCADOR INOX - CÓD: AL6060 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6061,7908713205985,RALADOR FATIADOR ESPIRAL 3 EM 1 - COR: VERMELHO - CÓD: AL6061 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6062,7908713201710,BAILARINA GIRATORIA BOLO VIDRO COM ROLAMENTO - CÓD: AL6062 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6063,7908713201734,KIT CONFEITEIRO DECORACAO BOLOS 106 PEÇAS - CÓD: AL6063 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6064,7908713201741,KIT CONFEITARIA 72 PEÇAS - CÓD: AL6064 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6065-B,7908713209464,MOCHILA ASTRONAUTA CÃES E GATOS - COR: PRETA- CÓDIGO.: AL6065-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6066-100-1,7908713208177,AL6066-100-1 - LAMPADA DE CERAMICA INFRAVERMELHO PARA AQUECIMENTO NAO EMITE LUZ - MATERIAL DE COMPOSICAO: CERAMICA E MET,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6066-100-2,7908713209266,LAMPADA CERAMICA PARA AQUECIMENTO - 100W - 220V - COR: PRETO - CÓD: AL6066-100-2 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6066-50-1,7908713208146,AL6066-50-1 - LAMPADA DE CERAMICA INFRAVERMELHO PARA AQUECIMENTO NAO EMITE LUZ - MATERIAL DE COMPOSICAO: CERAMICA E META,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6066-50-2,7908713208153,AL6066-50-2 - LAMPADA DE CERAMICA INFRAVERMELHO PARA AQUECIMENTO NAO EMITE LUZ - MATERIAL DE COMPOSICAO: CERAMICA E META,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6066-75-1,7908713208160,AL6066-75-1 - LAMPADA DE CERAMICA INFRAVERMELHO PARA AQUECIMENTO NAO EMITE LUZ - MATERIAL DE COMPOSICAO: CERAMICA E META,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6066-75-2,7908713209082,LAMPADA CERAMICA PARA AQUECIMENTO - 75W - 220V - COR: PRETO - CÓD: AL6066-75-2 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6067,7908713205992,PULSEIRA TÁTICA SOBREVIVÊNCIA FACA BUSSOLA APITO PEDERNEIRA - CÓD: AL6067 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6068-25-1,7908713208184,LAMPADA UVA UVB AQUECIMENTO REPTEIS PARA TERRARIO 110W - CÓD: 6068-25-1 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6068-25-2,7908713207903,LAMPADA UVA UVB AQUECIMENTO REPTEIS PARA TERRARIO 110W - CÓD: 6068-25-2 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6068-50-1,7908713207897,LAMPADA UVA UVB AQUECIMENTO REPTEIS PARA TERRARIO 110W - CÓD: 6068-50-1 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6068-50-2,7908713211450,LAMPADA UVA UVB AQUECIMENTO REPTEIS PARA TERRARIO 110W - CÓD: AL6068-50-2 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6069,7908713201772,ALIMENTADOR AUTOMÁTICO PARA PEIXES COMEDOURO A PILHAS AF-2003- CÓD: AL6069 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6071,7908713206005,"A PEDERNEIRA MACIÇA DE MAGNÉSIO CAMPING, PESCA, ACENDEDOR FOGO - COD: AL6071 - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6072,7908713201796,MICROSCÓPIO DE CRIANÇAS ÓPTICO 100X 400X 1200X - INFANTIL - CÓD: AL6072 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6073,7908713209631,KIT 3 RATINHO RASPADOR PELICULA PRO INSUFILM + 30 LÂMINAS - COD: AL6073 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6074,7908713203554,FOGAREIRO FOGÃO PORTÁTIL A GÁS CAMPING UMA BOCA COZINHA - CÓD: 6074,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6075,7908713201826,CORAÇÃO EM 2 PARTES TAMANHO NATURAL MONTADO EM UM SUPORTE - CÓD: AL6075 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6076,7908713201840,KIT FERRAMENTAS BIKE CHAVES BOMBA REMENDO REPARO BICICLETA - CÓD: AL6076 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6077-R,7908713206678,PAR LANTERNA TRASEIRA CAMINHÃO MB 1113 2013 1418 1618 1620 - CÓD: 6077-R - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6077-W,7908713206623,PAR LANTERNA TRASEIRA CAMINHÃO MB 1113 2013 1418 1618 1620 - CÓD: 6077-W - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6078,7908713201871,KIT MICROSCOPIO INFANTIL 28 PECAS 300x 600x 1200x COM MALETA - CÓD: 6078 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6079,7908713201901,MONOSCÓPIO PORTÁTIL MINI TELESCÓPIO ZOOM C/ TRIPÉ 80X100 - CÓD: AL6079 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
"AL6080-2,5",7908713201932,"BOMBA SUBMERSA FONTE ÁGUA AQUÁRIO BIVOLT 2,5W 160L/H - CÓD: AL6080-2.5 - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
"AL6080-2,5-LAMP",7908713201970,"BOMBA SUBMERSA FONTE ÁGUA AQUÁRIO COM LED BIVOLT 2,5W 160L/H - CÓD: AL6080-2.5-LAMP - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6080-3,7908713209563,BOMBA SUBMERSA FONTE ÁGUA AQUÁRIO 180L/H - CÓD: AL6080-3 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6080-3-LAMP,7908713202021,BOMBA SUBMERSA FONTE ÁGUA AQUÁRIO COM LED BIVOLT 3W 180L/H - CÓD: AL6080-3-LAMP - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6084,7908713202083,MODELO ESTUDO ANATOMICO TORSO HUMANO 15 PARTES - CÓD: AL6084 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6088,7908713202151,SUPORTE CELULAR CLIPE 360 GRAUS ROSCA 1/4 TRIPÉ - CÓD: AL6088 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6089,7908713202182,LANTERNA P50 - COR: PRETO - CÓD: AL6089 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6090,7908713202229,LANTERNA P70 HOLOFOTE SUPER POTENTE LED RECARREGÁVEL 168000W - CÓD: AL6090 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6091,7908713202250,ADAPTADOR DE MAKITA PARA CORTAR EM 45 GRAUS PORCELANATO - CÓD: AL6091 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6093,7908713202274,ESPELHO RETROVISOR PARA UTV CAN AM MAVERICK X3 AJUSTÁVEL 4X4 - CÓD: AL6093 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6097-29,7908713202304,TORNEIRA MONOCOMANDO QUADRADA ALTA 29CM PRETO FOSCO - CÓD: AL6097-29 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6101,7908713202311,FILTRO DE SUBSTITUICAO PARA BEBEDOURO FONTE PARA ANIMAIS - CÓD: 6101 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6102,7908713206012,CHUVEIRO DUCHA PORTATIL CAMPING ELATRICA - CÓD: AL6102 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6106,7908713202342,BEBEDOURO FONTE PARA ANIMAIS COM FILTRO DE AGUA - CÓD: AL6106 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6107,7908713202373,PELE ARTIFICIAL PARA SUTURA 3 CAMADAS - CÓD: AL6107 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6108,7908713202403,PEDAL SUSTAIN KONIG P/ TECLADO PIANO - TAMANHO: 7x25x7CM - CÓD: AL6108 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6109,7908713202427,ALIMENTADOR AUTOMATICO PEIXES AQUARIO FOOD TIMER TOOL - CÓD: AL6109 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6111,7908713206913,REMOVEDOR DE ERVAS DANINHAS - CÓD: AL6111 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6112,7908713206340,ROLO DE PINTURA P/ CANTOS UND - CÓD: AL6112 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6113,7908713202458,"LUMINARIA LED A PROVA D'AGUA - TAMANHO: 13X6,5CM - LED: BRANCO - BIVOLT - CÓD: AL6113 - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6114,7908713202472,LÂMPADA SOLAR DE PAREDE EXTERIOR SEM FIO DA CÂMERA DO SENSOR - CÓD.: AL6114 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6115-G-B,7908713207743,CAMINHA NUVEM PET REDONDA PELÚCIA - COR: PRETO - TAMANHO:G - CÓD: AL6115-G-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6115-G-BR,7908713202519,CAMINHA NUVEM PET REDONDA PELÚCIA - COR: MARROM - TAMANHO:G - CÓD: AL6115-G-BR - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6115-G-PK,7908713202632,CAMINHA NUVEM PET REDONDA PELÚCIA - COR: ROSA - TAMANHO:G - CÓD: AL6115-G-PK - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6115-G-R,7908713202670,CAMINHA NUVEM PET REDONDA PELÚCIA - COR: VERMELHO - TAMANHO:G - CÓD: AL6115-G-R - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6115-GG-BR,7908713207736,CAMINHA NUVEM PET REDONDA PELÚCIA - COR: MARROM - TAMANHO:GG - CÓD: AL6115-GG-BR - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6115-GG-GY,7908713202618,CAMINHA NUVEM PET REDONDA PELÚCIA - COR: CINZA - TAMANHO:GG - CÓD: AL6115-GG-GY - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6115-GG-PK,7908713202571,CAMINHA NUVEM PET REDONDA PELÚCIA - COR: ROSA - TAMANHO:GG - CÓD: AL6115-GG-PK - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6115-GG-R,7908713207729,CAMINHA NUVEM PET REDONDA PELÚCIA - COR: VERMELHO - TAMANHO:GG - CÓD: AL6115-GG-R - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6115-M-B,7908713207712,CAMINHA NUVEM PET REDONDA PELÚCIA - COR: PRETO - TAMANHO:M - CÓD: AL6115-M-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6115-M-PK,7908713202694,CAMINHA NUVEM PET REDONDA PELÚCIA - COR: ROSA - TAMANHO:M - CÓD: AL6115-M-PK - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6115-M-R,7908713202724,CAMINHA NUVEM PET REDONDA PELÚCIA - COR: VERMELHO - TAMANHO:M - CÓD: AL6115-M-R - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6117-1,7908713202762,FILTRO INTERNO COM BOMBA AQUÁRIO 110V 1400L/H 20W - CÓD: AL6117-1 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6117-2,7908713202786,FILTRO INTERNO COM BOMBA AQUÁRIO 220V 1400L/H 20W - CÓD: AL6117-2 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6119,7908713202816,TORNEIRA DE COZINHA AGUA FRIA E QUENTE - COR: PRATEADO - CÓD: AL6119 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6120,7908713202847,DUCHA PORTÁTIL CHUVEIRO CAMPING - CAPACIDADE: 20L - CÓD: AL6120 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6123,7908713202861,BUSSOLA RETRO TIPO RELÓGIO BOLSO FOSFORESCENTE - CÓD: AL6123 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6124,7908713206142,RALADOR EM AÇO INOX COM CABO E 3 LÂMINAS INTERCAMBIÁVEIS - COD: AL6124 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6126,7908713202885,TELA VERDE CHROMA KEY PORTÁTIL FUNDO INFINITO VÍDEO GRAVAÇÃO - CÓD.: AL6126 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6128,7908713203578,AL6128 - BANQUETA PORTATIL DOBRAVEL PARA ACAMPAMENTO - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6129,7908713202892,"LUMINARIA AQUARIO BARRA LED 09W, DE 30 A 40CM BIVOLT - COR: BRANCO - CÓD: AL6129 - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6130,7908713202915,CONTROLADOR TEMPERATURA DIGITAL TERMOSTATO - BIVOLT - CÓD: AL6130 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6135,7908713202939,PIPETA INCOLOR - TAMANHO: 43CM CAPACIDADE VOLUMETRICA: 50ML - CÓD: AL6135 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6136,7908713202953,BUSSOLA PROFISSIONAL - COR: VERDE - CÓD: AL6136 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6138,7908713202960,LANTERNA TRASEIRA CAMINHÃO MARMITA LED UNIDADE - CÓD: AL6138 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6145,7908713201079,BUSSOLA MAPA GEOGRÁFICA COM ESCALA RÉGUA - CÓD: AL6145 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6147,7908713201123,ADAPTADOR USB 3.0 PARA HDMI VGA VIDEO 1080P - CÓDIGO: AL6147 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6150,7908713201192,BINÓCULO PROFISSIONAL DE LONGO ALCANCE ALTA NITIDEZ 8 X 21 - COD: AL6150 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6151,7908713204520,JOGO CHAVE CATRACA REVERSÍVEL 40 PCS - CÓD: AL6151 MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6152,7908713206029,REBITADOR MANUAL ALAVANCA PARA REBITES COM ROSCA DE M3 ATÉ M10 - CÓD: AL6152 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6153,7908713201253,JOGO DE FRESAS PARA TUPIA 6 MM 12 PEÇAS + MALETA - CÓD.: AL6153 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6154,7908713208122,MASSAGEADOR PARA PERNAS E PÉS 40W - COR: PRETO - CÓD: AL6154 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6156,7908713209587,"GRAMPEADOR PNEUMÁTICO PROFISSIONAL - TAMANHO: 21X4,5X14,5CM - COD: AL6156 - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6158,7908713206135,KIT TESTE ARREFECIMENTO P/ RADIADOR COM BOMBA DE VÁCUO 28PÇS - CÓD: AL6158 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6159,7908713201321,DENSIMETRO TERMODENSIMETRO TESTE ADITIVO RADIADOR - CÓD: AL6159 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6162,7908713206036,"KIT FERRAMENTA PARA EMBOLO DA PINÇA DE FREIO TRASEIRO 21 PÇS - CÓD: AL6162 - MARCA: LORBEN """,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6164,7908713201475,MEDIDOR DE COMPRESSÃO DE CILINDRO LINHA DIESEL - CÓD.: AL6164 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6169,7908713201697,SANGRADOR PNEUMÁTICO DE FREIO E DIREÇÃO HIDRÁULICA DELTA - CÓD.: AL6169 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6170,7908713201727,JOGO DE FERRAMENTAS MEDIDOR DE VAZAO DE CILINDRO DO MOTOR - CÓD.: AL6170 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6171,7908713201758,TERMINAL AUTOMOTIVO REMOVER FERRAMENTA PINO EXTRATOR ELÉTRICO - CÓD: AL6171,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6172-O,7908713201819,ALICATE DESCASCADOR DE FIOS AUTO AJUSTÁVEL - COR: LARANJA - CÓD: AL6172-O - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6172-R,7908713201864,ALICATE DESCASCADOR DE FIOS AUTO AJUSTÁVEL - COR: VERMELHO - CÓD: AL6172-R - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6172-Y,7908713201918,ALICATE DESCASCADOR DE FIOS AUTO AJUSTÁVEL - COR: AMARELO - CÓD: AL6172-Y - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6173,7908713201987,ALICATE VAZADOR- FURADOR CHINELO COURO CINTO - 6 FUROS - CÓD: AL6173 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6174,7908713202014,ALICATE PARA CRIMPAGEM DE FIOS ELETRICOS E PRENSA TERMINAL - CÓD: AL6174 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6176-R,7908713207682,BICICLETA ERGOMETRICA DIGITAL - COR: VERMELHO - COD: AL6176-R - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6177,7908713209068,"MAQUINA DE EXERCICIOS MULTIFUNCAO, SIMULADOR DE CAMINHADA - CÓD: AL6177 - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6178-B,7908713207675,MINI STEPPER SIMULADOR DE CAMINHADA - COR: PRETO - COD: AL6178-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6178-W,7908713207668,MINI STEPPER SIMULADOR DE CAMINHADA - COR: BRANCO - COD: AL6178-W - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6179-R,7908713201437,BICICLETA ERGOMETRICA SPINNING DISPLAY DIGITAL VERMELHO/PRETO - CÓD: 6179-R - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6180,7908713206081,MISTURADOR MONOCROMATICO CHUVEIRO - CÓD: AL6180 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6181,7908713206098,CHUVEIRO DUCHA MANUAL - CÓD: AL6181 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6182,7908713206104,TORNEIRA MONOCOMANDO QUADRADO BICA ALTA MOVEL - CÓD: AL6182 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6183,7908713211924,ENGATE MANGUEIRA FLEXÍVEL MISTURADOR 80CM (PAR) - CÓD: AL6183 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6184,7908713206111,CHUVEIRO DUCHA MANUAL ARTICULADO QUADRADO - CÓD: AL6184 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6186,7908713202052,TORNEIRA MONOCOMANDO - MATERIAL: ACO INOX - CÓD: AL6186 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6187,7908713202090,TORNEIRA TIPO ESFERA DE JARDIM - CÓDIGO: AL6187 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6189,7908713206319,GANCHO DE LIGA DE ALUMINIO - DIMENSAO: 2X15CM - COR: PRATEADO - CÓD: AL6189 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6190,7908713202144,"CAIXA PLASTICA COM BOTAO DE EMERGENCIA - TAMANHO: 6,7X8X6,7CM - CÓD: 6190 - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6191,7908713206630,SUPORTE/GANCHO DE PAREDE PARA INSTRUMENTOS DE CORDA - COR: PRETO - CÓD: AL6191 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6192,7908713209594,SUPORTE PARA TECLADO MUSICAL PROFISSIONAL - COD: AL6192 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6193,7908713206296,TRIPE PARA NOTEBOOK PROJETOR ATÉ 20 KG - CÓD: AL6193 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6194,7908713202168,BOLSA ORGANIZADORA DE PORTA OBJETOS CARRO TABLETS IPAD - CÓD.: AL 6194 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6195-BL,7908713207644,PAR DE BARRA PARALELA DE CHAO COR: AZUL - CÓD: AL6195-BL - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6195-GN,7908713208108,PAR DE BARRA PARALELA DE CHAO COR: VERDE - CÓD: AL6195-GN - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6195-R,7908713207620,PAR DE BARRA PARALELA DE CHAO COR: VERMELHO - CÓD: AL6195-R - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6197-B,7908713206999,"GARRAFA GALAO DE AGUA DE 2,2 LITROS SQUEEZE PRETO - CÓD: AL6197-B - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6197-BL,7908713206982,"GARRAFA GALAO DE AGUA DE 2,2 LITROS SQUEEZE AZUL - CÓD: AL6197-BL - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6197-PK,7908713206975,"GARRAFA GALAO DE AGUA DE 2,2 LITROS SQUEEZE ROSA - CÓD: AL6197-PK - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6198,7908713206289,RODA ROLO ABDOMINAL - CÓD: AL6198 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL620,7908713205749,PORTA BEBIDAS DOSADOR AUTOMATICO 4 GARRAFAS - CÓD: AL620 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6200,7908713202205,ALMOFADA PARA PÉS INFLÁVEL - TAMANHO: 43CMX38CM - COR: CINZA - CÓD: AL6200 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
